AST,BLK,DREB_PCT,EFG_PCT,FT_RATE,OPP_AST,OPP_BLK,OPP_EFG_PCT,OPP_FT_RATE,OPP_TOV_PCT,OREB_PCT,PLUS_MINUS,TOV_PCT,WL
18,3,0.575,0.5079365079365079,0.23809523809523808,22.0,9.0,0.4296875,0.203125,0.1636904761904762,0.5333333333333333,12.0,0.19696969696969696,W
21,4,0.7666666666666667,0.625,0.36666666666666664,16.0,1.0,0.5,0.3684210526315789,0.19337016574585633,0.14814814814814814,17.0,0.09749303621169916,W
18,3,0.696969696969697,0.509090909090909,0.41818181818181815,17.0,4.0,0.5378787878787878,0.07575757575757576,0.1267605633802817,0.24242424242424243,-8.0,0.1380368098159509,L
14,8,0.6875,0.4,0.17333333333333334,18.0,9.0,0.47413793103448276,0.20689655172413793,0.24064171122994654,0.3170731707317073,8.0,0.10638297872340426,L
13,8,0.5909090909090909,0.3939393939393939,0.24242424242424243,14.0,5.0,0.3582089552238806,0.13432835820895522,0.24793388429752067,0.275,13.0,0.15193370165745856,W
18,3,0.7058823529411765,0.5161290322580645,0.3387096774193548,19.0,2.0,0.49193548387096775,0.25806451612903225,0.21220159151193632,0.28125,9.0,0.16348773841961853,L
17,7,0.6486486486486487,0.4491525423728814,0.3728813559322034,11.0,3.0,0.43548387096774194,0.1935483870967742,0.234375,0.3125,6.0,0.21680216802168023,W
21,3,0.8484848484848485,0.49166666666666664,0.21666666666666667,15.0,6.0,0.475,0.38333333333333336,0.16172506738544473,0.1724137931034483,0.0,0.18867924528301885,L
19,2,0.8055555555555556,0.47297297297297297,0.3783783783783784,17.0,5.0,0.515625,0.25,0.1326259946949602,0.43902439024390244,16.0,0.09433962264150943,W
13,10,0.675,0.4406779661016949,0.3220338983050847,13.0,2.0,0.40625,0.28125,0.18617021276595744,0.21875,2.0,0.21164021164021166,L
20,6,0.6,0.5175438596491229,0.38596491228070173,21.0,4.0,0.4264705882352941,0.3235294117647059,0.18564356435643564,0.17857142857142858,-4.0,0.2380952380952381,W
14,3,0.5357142857142857,0.5661764705882353,0.23529411764705882,16.0,1.0,0.5377358490566038,0.4528301886792453,0.29329608938547486,0.3125,16.0,0.12261580381471389,W
18,4,0.6896551724137931,0.4696969696969697,0.15151515151515152,12.0,2.0,0.5092592592592593,0.2777777777777778,0.13114754098360656,0.3611111111111111,1.0,0.09523809523809523,W
23,4,0.6216216216216216,0.47580645161290325,0.16129032258064516,17.0,4.0,0.43333333333333335,0.26666666666666666,0.17291066282420747,0.12903225806451613,0.0,0.11428571428571428,W
14,8,0.7105263157894737,0.4435483870967742,0.3548387096774194,16.0,3.0,0.4375,0.359375,0.15544041450777202,0.15625,4.0,0.10840108401084012,W
21,6,0.7222222222222222,0.532258064516129,0.25806451612903225,18.0,4.0,0.45901639344262296,0.29508196721311475,0.1544943820224719,0.21428571428571427,10.0,0.13812154696132595,W
14,3,0.6285714285714286,0.39285714285714285,0.26785714285714285,19.0,4.0,0.5151515151515151,0.13636363636363635,0.20107238605898126,0.17647058823529413,-18.0,0.2222222222222222,L
18,3,0.48717948717948717,0.5076923076923077,0.13846153846153847,20.0,1.0,0.49295774647887325,0.19718309859154928,0.2380952380952381,0.1875,-7.0,0.14945652173913046,L
14,1,0.8,0.3813559322033898,0.2711864406779661,27.0,3.0,0.6481481481481481,0.35185185185185186,0.18678160919540232,0.2571428571428571,-27.0,0.22099447513812154,L
21,0,0.7777777777777778,0.5367647058823529,0.14705882352941177,12.0,4.0,0.5288461538461539,0.17307692307692307,0.2623906705539359,0.3157894736842105,18.0,0.14285714285714285,W
17,3,0.6470588235294118,0.4838709677419355,0.16129032258064516,14.0,4.0,0.48333333333333334,0.15,0.1801801801801802,0.2903225806451613,4.0,0.13636363636363635,W
14,8,0.6956521739130435,0.5169491525423728,0.3389830508474576,12.0,0.0,0.4,0.2,0.09641873278236915,0.18181818181818182,8.0,0.11594202898550725,W
14,7,0.5952380952380952,0.3732394366197183,0.30985915492957744,14.0,4.0,0.41304347826086957,0.15942028985507245,0.11049723756906077,0.39473684210526316,5.0,0.12195121951219513,W
11,4,0.6904761904761905,0.43661971830985913,0.16901408450704225,16.0,5.0,0.4057971014492754,0.15942028985507245,0.11936339522546419,0.37142857142857144,8.0,0.13736263736263737,W
12,4,0.71875,0.5,0.44,21.0,4.0,0.5403225806451613,0.3387096774193548,0.11049723756906077,0.17857142857142858,-15.0,0.2180232558139535,L
16,5,0.6666666666666666,0.4661016949152542,0.2033898305084746,16.0,3.0,0.4915254237288136,0.3728813559322034,0.15320334261838442,0.1935483870967742,-12.0,0.20604395604395606,L
17,2,0.7741935483870968,0.5,0.22413793103448276,20.0,3.0,0.5327868852459017,0.14754098360655737,0.10355029585798818,0.2,-4.0,0.14662756598240467,L
12,5,0.5789473684210527,0.4609375,0.265625,10.0,10.0,0.42063492063492064,0.2222222222222222,0.19230769230769232,0.4838709677419355,8.0,0.22284122562674097,W
16,5,0.65625,0.53125,0.375,19.0,4.0,0.5241935483870968,0.27419354838709675,0.17857142857142858,0.2857142857142857,6.0,0.16539440203562342,W
20,4,0.6176470588235294,0.553030303030303,0.2727272727272727,11.0,3.0,0.5555555555555556,0.2222222222222222,0.11936339522546419,0.2413793103448276,-4.0,0.08310249307479224,W
18,3,0.5714285714285714,0.36363636363636365,0.21212121212121213,10.0,8.0,0.4672131147540984,0.18032786885245902,0.20718232044198892,0.2777777777777778,-6.0,0.15151515151515152,L
16,4,0.725,0.4014084507042254,0.14084507042253522,18.0,7.0,0.44029850746268656,0.11940298507462686,0.16172506738544473,0.2619047619047619,-1.0,0.15789473684210525,L
24,5,0.875,0.5847457627118644,0.22033898305084745,18.0,0.0,0.532258064516129,0.3870967741935484,0.14360313315926895,0.07142857142857142,-3.0,0.1837270341207349,W
26,6,0.625,0.7,0.12307692307692308,14.0,2.0,0.4583333333333333,0.25,0.10638297872340426,0.2916666666666667,16.0,0.20725388601036268,W
